@RELATION spotify

@ATTRIBUTE danceability REAL
@ATTRIBUTE energy REAL
@ATTRIBUTE key REAL
@ATTRIBUTE loudness REAL
@ATTRIBUTE mode REAL
@ATTRIBUTE speechiness REAL
@ATTRIBUTE acousticness REAL
@ATTRIBUTE instrumentalness REAL
@ATTRIBUTE liveness REAL
@ATTRIBUTE valence REAL
@ATTRIBUTE tempo REAL
@ATTRIBUTE duration_ms REAL
@ATTRIBUTE time_signature REAL
@ATTRIBUTE class {0,1}

@DATA
0.59,0.9,5,-3.44,1,0.0448,0.00156,0.0,0.406,0.792,131.984,160373,4,0
0.412,0.744,9,-4.301,1,0.0651,0.0265,0.0,0.21,0.342,176.171,210646,4,0
0.697,0.775,10,-4.106,1,0.0636,0.139,0.0,0.0737,0.822,90.015,200453,4,0
0.627,0.82,0,-4.803,1,0.0327,0.00679,0.0,0.214,0.532,119.996,217373,4,0
0.478,0.881,6,-4.24,1,0.119,0.034,1.03e-06,0.0296,0.762,73.951,222547,4,0
0.373,0.964,1,-4.625,0,0.314,0.000123,0.000189,0.33,0.374,167.248,217840,4,0
0.785,0.6,6,-5.73,1,0.0504,0.00507,0.0,0.077,0.753,105.029,230826,4,0
0.44,0.976,10,-3.17,1,0.141,0.00177,3.39e-06,0.16,0.412,150.005,226707,4,0
0.476,0.885,6,-3.311,1,0.0856,0.0421,0.0,0.06,0.629,164.042,205209,4,0
0.656,0.865,4,-1.616,1,0.0335,0.0949,0.0,0.298,0.772,128.992,245492,4,0
